Date,Id,Term,Company,Rate,MaxLTV
31/03/2020,,5yr,Coventry BS,1.65,75
31/03/2020,,5yr,HSBC,1.51,75
31/03/2020,,5yr,Leeds BS,1.89,75
31/03/2020,,5yr,Metro Bank,2.74,75
31/03/2020,,5yr,NatWest,1.59,75
31/03/2020,,5yr,Newcastle BS,2.49,75
31/03/2020,,5yr,Nottingham BS,1.7,75
31/03/2020,,5yr,Principality BS,1.76,75
31/03/2020,,5yr,Royal Bank of Scotland,1.65,75
31/03/2020,,5yr,Santander,1.59,75
31/03/2020,,5yr,Skipton BS,1.65,75
31/03/2020,,5yr,Virgin Money,1.69,75
31/03/2020,,5yr,Yorkshire Bank,1.94,75
31/03/2020,,5yr,Yorkshire Building Society,1.51,75
30/04/2020,,2yr,Bank of Ireland UK,1.54,75
30/04/2020,,2yr,Barclays Mortgage,1.44,75
30/04/2020,,2yr,Clydesdale Bank,1.39,75
30/04/2020,,2yr,Coventry BS,1.3,75
30/04/2020,,2yr,HSBC,1.34,75
30/04/2020,,2yr,Leeds BS,1.34,75
30/04/2020,,2yr,Metro Bank,2.59,75
30/04/2020,,2yr,NatWest,1.25,75
30/04/2020,,2yr,Newcastle BS,2.15,75
30/04/2020,,2yr,Nottingham BS,1.54,75
30/04/2020,,2yr,Principality BS,1.62,75
30/04/2020,,2yr,Royal Bank of Scotland,1.25,75
30/04/2020,,2yr,Santander,1.44,75
30/04/2020,,2yr,Skipton BS,1.49,75
30/04/2020,,2yr,Virgin Money,1.7,75
30/04/2020,,2yr,Yorkshire Bank,1.39,75
30/04/2020,,2yr,Yorkshire Building Society,1.5,75
30/04/2020,,5yr,Bank of Ireland UK,1.7,75
30/04/2020,,5yr,Barclays Mortgage,1.64,75
30/04/2020,,5yr,Clydesdale Bank,1.8,75
30/04/2020,,5yr,Coventry BS,1.65,75
30/04/2020,,5yr,HSBC,1.51,75
30/04/2020,,5yr,Leeds BS,1.89,75
30/04/2020,,5yr,Metro Bank,2.74,75
30/04/2020,,5yr,NatWest,1.59,75
30/04/2020,,5yr,Newcastle BS,2.49,75
30/04/2020,,5yr,Nottingham BS,1.7,75
30/04/2020,,5yr,Principality BS,1.76,75
30/04/2020,,5yr,Royal Bank of Scotland,1.65,75
30/04/2020,,5yr,Santander,1.59,75
30/04/2020,,5yr,Skipton BS,1.65,75
30/04/2020,,5yr,Virgin Money,1.69,75
30/04/2020,,5yr,Yorkshire Bank,1.94,75
30/04/2020,,5yr,Yorkshire Building Society,1.51,75
31/05/2020,,2yr,Bank of Ireland UK,1.54,75
31/05/2020,,2yr,Barclays Mortgage,1.52,75
31/05/2020,,2yr,Clydesdale Bank,1.39,75
31/05/2020,,2yr,Coventry BS,1.3,75
31/05/2020,,2yr,HSBC,1.44,75
31/05/2020,,2yr,Leeds BS,1.49,75
31/05/2020,,2yr,Metro Bank,2.59,75
31/05/2020,,2yr,NatWest,1.41,75
31/05/2020,,2yr,Newcastle BS,2.15,75
31/05/2020,,2yr,Nottingham BS,1.54,75
31/05/2020,,2yr,Principality BS,1.65,75
31/05/2020,,2yr,Royal Bank of Scotland,1.41,75
31/05/2020,,2yr,Santander,1.44,75
31/05/2020,,2yr,Skipton BS,1.49,75
31/05/2020,,2yr,Virgin Money,1.7,75
31/05/2020,,2yr,Yorkshire Bank,1.39,75
31/05/2020,,2yr,Yorkshire Building Society,1.33,75
31/05/2020,,5yr,Bank of Ireland UK,2.02,75
31/05/2020,,5yr,Barclays Mortgage,1.8,75
31/05/2020,,5yr,Clydesdale Bank,1.8,75
31/05/2020,,5yr,Coventry BS,1.65,75
31/05/2020,,5yr,HSBC,1.71,75
31/05/2020,,5yr,Leeds BS,1.99,75
31/05/2020,,5yr,Metro Bank,2.84,75
31/05/2020,,5yr,NatWest,1.77,75
31/05/2020,,5yr,Newcastle BS,2.49,75
31/05/2020,,5yr,Nottingham BS,1.7,75
31/05/2020,,5yr,Principality BS,1.8,75
31/05/2020,,5yr,Royal Bank of Scotland,1.79,75
31/05/2020,,5yr,Santander,1.59,75
31/05/2020,,5yr,Skipton BS,1.65,75
31/05/2020,,5yr,Virgin Money,1.69,75
31/05/2020,,5yr,Yorkshire Bank,1.94,75
